time,open,high,low,close,vol,volCcy
1569891600000,0.01439,0.01452,0.0143,0.01452,48753706.19,0.0
1569895200000,0.01452,0.01477,0.01452,0.01474,87456116.57,0.0
1569898800000,0.01474,0.01488,0.01458,0.01459,31356685.41,0.0
1569902400000,0.01458,0.01473,0.01457,0.01465,20428050.67,0.0
1569906000000,0.01464,0.01465,0.01447,0.01455,13943824.15,0.0
1569909600000,0.01455,0.01456,0.0144,0.01449,24290635.65,0.0
1569913200000,0.0145,0.01456,0.01437,0.01456,22700054.69,0.0
1569916800000,0.01455,0.01457,0.01438,0.01445,26679763.43,0.0
1569920400000,0.01445,0.01446,0.01411,0.01419,53284282.25,0.0
1569924000000,0.0142,0.01432,0.01417,0.01418,28553433.36,0.0
1569927600000,0.01418,0.01433,0.01415,0.01433,8236403.55,0.0
1569931200000,0.01432,0.01444,0.0142,0.01422,32073823.28,0.0
1569934800000,0.01421,0.01424,0.014,0.01417,66730152.13,0.0
1569938400000,0.01417,0.01422,0.01394,0.01399,18926152.56,0.0
1569942000000,0.01398,0.01414,0.01389,0.01413,24971534.1,0.0
1569945600000,0.01413,0.01433,0.01398,0.01415,54921851.48,0.0
1569949200000,0.01416,0.01424,0.01381,0.0139,38977971.11,0.0
1569952800000,0.01391,0.01406,0.01383,0.01386,40853536.01,0.0
1569956400000,0.01386,0.01396,0.01372,0.01395,39574145.92,0.0
1569960000000,0.01394,0.0141,0.01384,0.014,32797989.87,0.0
1569963600000,0.01401,0.01408,0.01395,0.01402,21318726.32,0.0
1569967200000,0.01402,0.0141,0.01397,0.01408,16246533.45,0.0
1569970800000,0.01409,0.01413,0.01393,0.01394,13304251.72,0.0
1569974400000,0.01394,0.01396,0.01382,0.01387,46630139.7,0.0
1569978000000,0.01388,0.01406,0.01386,0.01394,27429128.29,0.0
1569981600000,0.01393,0.01396,0.01379,0.01379,24187143.4,0.0
1569985200000,0.01379,0.01387,0.01369,0.01377,15896416.01,0.0
1569988800000,0.01376,0.01388,0.01372,0.01376,22705359.53,0.0
1569992400000,0.01376,0.01378,0.01365,0.01371,16241761.88,0.0
1569996000000,0.01371,0.01382,0.0137,0.01381,19243976.2,0.0
1569999600000,0.01381,0.0139,0.01381,0.01385,14842454.55,0.0
1570003200000,0.01386,0.01403,0.01384,0.01397,13406568.65,0.0
1570006800000,0.01398,0.01405,0.01384,0.01389,28127532.14,0.0
1570010400000,0.01389,0.01417,0.01387,0.01409,33575302.57,0.0
1570014000000,0.01408,0.01421,0.01404,0.01415,19561022.89,0.0
1570017600000,0.01416,0.01423,0.014,0.01405,33251368.76,0.0
1570021200000,0.01405,0.01418,0.01404,0.01406,13137195.47,0.0
1570024800000,0.01406,0.01416,0.01396,0.01404,16124289.67,0.0
1570028400000,0.01404,0.01427,0.01401,0.01419,31260447.07,0.0
1570032000000,0.0142,0.01436,0.01417,0.01419,28358413.78,0.0
1570035600000,0.01418,0.01422,0.01408,0.0142,16112698.46,0.0
1570039200000,0.0142,0.01428,0.01414,0.01422,30506858.49,0.0
1570042800000,0.01421,0.01428,0.01417,0.01426,18925256.37,0.0
1570046400000,0.01426,0.01428,0.01415,0.01417,6242604.23,0.0
1570050000000,0.01417,0.01425,0.01414,0.01423,4949147.8,0.0
1570053600000,0.01422,0.01429,0.01412,0.01424,25247433.03,0.0
1570057200000,0.01424,0.01442,0.01424,0.01438,23303644.0,0.0
1570060800000,0.01438,0.01442,0.01423,0.01426,35193529.02,0.0
1570064400000,0.01426,0.01436,0.01422,0.01436,10442581.48,0.0
1570068000000,0.01434,0.01437,0.01429,0.01436,11748302.49,0.0
1570071600000,0.01436,0.0144,0.0143,0.0143,12828431.99,0.0
1570075200000,0.01431,0.01444,0.01431,0.01442,10676179.44,0.0
1570078800000,0.01442,0.01442,0.01427,0.01427,10172697.63,0.0
1570082400000,0.01426,0.01433,0.01416,0.01416,49419120.22,0.0
1570086000000,0.01416,0.0142,0.0141,0.01419,10991294.73,0.0
1570089600000,0.01419,0.01429,0.01415,0.01427,18022690.78,0.0
1570093200000,0.01426,0.01428,0.01423,0.01423,5718261.86,0.0
1570096800000,0.01423,0.01424,0.01405,0.0141,12132645.55,0.0
1570100400000,0.0141,0.01419,0.01407,0.01417,12687849.97,0.0
1570104000000,0.01417,0.01426,0.01415,0.01423,5415355.49,0.0
1570107600000,0.01423,0.01426,0.0142,0.01421,4718145.26,0.0
1570111200000,0.01422,0.01422,0.01389,0.01399,68326229.97,0.0
1570114800000,0.01398,0.01406,0.01392,0.01398,20015928.55,0.0
1570118400000,0.01398,0.01417,0.01393,0.0141,26306996.63,0.0
1570122000000,0.01411,0.01413,0.014,0.01408,14067022.35,0.0
1570125600000,0.01408,0.01414,0.01404,0.01412,11056982.47,0.0
1570129200000,0.01413,0.01414,0.01395,0.01409,19026798.92,0.0
1570132800000,0.01408,0.01416,0.01404,0.01413,8640322.78,0.0
1570136400000,0.01413,0.01429,0.01412,0.01424,10538495.79,0.0
1570140000000,0.01425,0.01432,0.01417,0.01428,60096285.13,0.0
1570143600000,0.01427,0.01439,0.01425,0.01428,22776069.22,0.0
1570147200000,0.01427,0.01431,0.01411,0.01414,16820804.6,0.0
1570150800000,0.01414,0.01418,0.01404,0.01414,8140268.45,0.0
1570154400000,0.01414,0.01422,0.01407,0.01412,9624942.87,0.0
1570158000000,0.01411,0.01418,0.01409,0.0141,8672640.08,0.0
1570161600000,0.0141,0.01413,0.01402,0.01403,11857126.8,0.0
1570165200000,0.01403,0.01415,0.01396,0.01412,15138769.67,0.0
1570168800000,0.01412,0.01423,0.01412,0.01423,11260516.77,0.0
1570172400000,0.01423,0.01433,0.01419,0.01432,14398447.75,0.0
1570176000000,0.01431,0.01433,0.01413,0.01417,10947605.99,0.0
1570179600000,0.01418,0.01447,0.01418,0.01443,16077069.15,0.0
1570183200000,0.01444,0.01452,0.01431,0.01438,37065084.07,0.0
1570186800000,0.01437,0.01448,0.01431,0.01442,12462893.8,0.0
1570190400000,0.01442,0.01447,0.01438,0.0144,12817066.28,0.0
1570194000000,0.0144,0.01453,0.0144,0.01449,14401274.72,0.0
1570197600000,0.01449,0.01455,0.0144,0.01446,7142712.9,0.0
1570201200000,0.01447,0.01449,0.0144,0.01446,11866206.2,0.0
1570204800000,0.01447,0.01478,0.01438,0.0147,32164816.77,0.0
1570208400000,0.01469,0.0147,0.01447,0.01453,14828711.47,0.0
1570212000000,0.01454,0.01464,0.01454,0.01459,19579626.12,0.0
1570215600000,0.0146,0.01469,0.01457,0.01468,14023792.43,0.0
1570219200000,0.01468,0.01478,0.01462,0.01463,11780178.42,0.0
1570222800000,0.01463,0.01466,0.01457,0.01462,13411985.28,0.0
1570226400000,0.01463,0.01467,0.01456,0.01459,9182787.37,0.0
1570230000000,0.01459,0.0146,0.01452,0.01453,8987918.52,0.0
1570233600000,0.01454,0.01454,0.01438,0.01451,17621938.83,0.0
1570237200000,0.01452,0.01459,0.01449,0.01452,7139300.05,0.0
1570240800000,0.01453,0.0146,0.01449,0.01456,11098418.19,0.0
1570244400000,0.01456,0.01459,0.01451,0.01457,13023120.33,0.0
1570248000000,0.01457,0.01462,0.01456,0.01459,3547613.06,0.0
1570251600000,0.01459,0.0146,0.01454,0.01454,15119028.67,0.0
1570255200000,0.01454,0.01462,0.01451,0.01461,3437765.67,0.0
1570258800000,0.01461,0.01461,0.01448,0.0145,10253534.28,0.0
1570262400000,0.01451,0.01452,0.01437,0.01444,9687591.0,0.0
1570266000000,0.01444,0.01454,0.01444,0.01452,8205237.79,0.0
1570269600000,0.01451,0.01455,0.01443,0.01452,13015998.38,0.0
1570273200000,0.01452,0.01462,0.01452,0.01459,9371291.19,0.0
1570276800000,0.01459,0.01459,0.01439,0.01442,12838016.51,0.0
1570280400000,0.01441,0.01457,0.01434,0.01455,41403802.01,0.0
1570284000000,0.01456,0.01465,0.0145,0.01452,9458679.78,0.0
1570287600000,0.01452,0.01473,0.01451,0.01471,14165151.26,0.0
1570291200000,0.01472,0.01481,0.0146,0.0148,42558101.85,0.0
1570294800000,0.0148,0.0151,0.01479,0.01494,82836911.03,0.0
1570298400000,0.01494,0.01505,0.01482,0.01483,46942804.15,0.0
1570302000000,0.01483,0.015,0.0148,0.015,24556337.98,0.0
1570305600000,0.015,0.01501,0.01481,0.01488,15788964.54,0.0
1570309200000,0.01488,0.01505,0.01482,0.01496,11874794.71,0.0
1570312800000,0.01496,0.01507,0.01495,0.01503,14311989.73,0.0
1570316400000,0.01504,0.01507,0.01494,0.01505,9773853.98,0.0
1570320000000,0.01506,0.01541,0.01506,0.01538,30655801.29,0.0
1570323600000,0.01537,0.0154,0.01499,0.01506,90487991.04,0.0
1570327200000,0.01505,0.01513,0.01497,0.01512,25578593.51,0.0
1570330800000,0.01512,0.01518,0.01505,0.01509,16761339.8,0.0
1570334400000,0.01508,0.01527,0.01506,0.01518,17982302.87,0.0
1570338000000,0.01519,0.01528,0.01516,0.01521,12736122.91,0.0
1570341600000,0.0152,0.01523,0.01493,0.01505,33639623.05,0.0
1570345200000,0.01505,0.01506,0.0149,0.01493,17723895.11,0.0
1570348800000,0.01494,0.01495,0.01458,0.01462,59200813.52,0.0
1570352400000,0.01462,0.01474,0.01462,0.01467,11880806.96,0.0
1570356000000,0.01467,0.01468,0.01454,0.01461,20687596.4,0.0
1570359600000,0.01461,0.01485,0.0146,0.0148,35065714.28,0.0
1570363200000,0.01481,0.01488,0.01479,0.01482,16763453.42,0.0
1570366800000,0.01482,0.01483,0.01466,0.01469,13728508.19,0.0
1570370400000,0.01469,0.01477,0.01451,0.01474,23422225.71,0.0
1570374000000,0.01474,0.01499,0.01466,0.01489,33135320.31,0.0
1570377600000,0.01489,0.01495,0.01481,0.01492,18868025.46,0.0
1570381200000,0.01491,0.01496,0.01482,0.01483,9730245.49,0.0
1570384800000,0.01482,0.01486,0.01439,0.01453,79796733.63,0.0
1570388400000,0.01453,0.01465,0.01446,0.01463,42823468.06,0.0
1570392000000,0.01463,0.0147,0.01454,0.01456,16853091.6,0.0
1570395600000,0.01457,0.01467,0.01456,0.01464,9463733.23,0.0
1570399200000,0.01464,0.01465,0.01451,0.01454,6748539.06,0.0
1570402800000,0.01454,0.01457,0.01443,0.0145,40665680.22,0.0
1570406400000,0.0145,0.01453,0.01434,0.01451,26437408.58,0.0
1570410000000,0.01452,0.01458,0.01449,0.01458,10276718.28,0.0
1570413600000,0.01457,0.01464,0.01451,0.01462,21327247.09,0.0
1570417200000,0.01463,0.0149,0.01459,0.0148,33280411.61,0.0
1570420800000,0.01481,0.01487,0.01476,0.01476,14575326.18,0.0
1570424400000,0.01476,0.01486,0.01471,0.01484,25165787.55,0.0
1570428000000,0.01484,0.01489,0.0148,0.01483,9436504.68,0.0
1570431600000,0.01483,0.01548,0.01482,0.01546,77838443.01,0.0
1570435200000,0.01545,0.01563,0.01531,0.01539,99888075.87,0.0
1570438800000,0.0154,0.01548,0.01532,0.01547,33782921.3,0.0
1570442400000,0.01547,0.01563,0.01546,0.01551,46317110.08,0.0
1570446000000,0.01551,0.01563,0.01542,0.01542,48910564.08,0.0
1570449600000,0.01541,0.01599,0.01541,0.0157,96974110.77,0.0
1570453200000,0.01571,0.01595,0.0157,0.01577,49718998.7,0.0
1570456800000,0.01577,0.01582,0.01559,0.01578,29125643.57,0.0
1570460400000,0.01578,0.01588,0.01568,0.01586,39703595.98,0.0
1570464000000,0.01587,0.01654,0.01576,0.01636,146965395.38,0.0
1570467600000,0.01635,0.01643,0.01616,0.01632,61980047.25,0.0
1570471200000,0.0163,0.01635,0.01601,0.01628,59348101.25,0.0
1570474800000,0.01628,0.0163,0.0162,0.01627,12347665.41,0.0
1570478400000,0.01626,0.01648,0.01598,0.01612,36194605.48,0.0
1570482000000,0.01611,0.01622,0.01605,0.01617,17192688.22,0.0
1570485600000,0.01616,0.01628,0.01603,0.01625,19947131.8,0.0
1570489200000,0.01626,0.01632,0.01617,0.01624,23690949.33,0.0
1570492800000,0.01624,0.01633,0.01607,0.01617,21534241.54,0.0
1570496400000,0.01617,0.01641,0.01611,0.01639,25638566.27,0.0
1570500000000,0.01639,0.01651,0.01623,0.01628,33384117.3,0.0
1570503600000,0.01628,0.01637,0.01614,0.01634,23986932.07,0.0
1570507200000,0.01635,0.0164,0.01611,0.01614,16745278.58,0.0
1570510800000,0.01614,0.01624,0.01607,0.01618,21572104.56,0.0
1570514400000,0.01618,0.01625,0.01615,0.01619,19997301.04,0.0
1570518000000,0.01619,0.0162,0.01603,0.01604,18727281.71,0.0
1570521600000,0.01603,0.01605,0.0158,0.01597,39926478.36,0.0
1570525200000,0.01597,0.01599,0.01586,0.01592,22322764.04,0.0
1570528800000,0.01592,0.01609,0.01591,0.016,17075470.28,0.0
1570532400000,0.016,0.01624,0.01598,0.01621,24586969.72,0.0
1570536000000,0.01622,0.01634,0.01616,0.01633,33001503.32,0.0
1570539600000,0.01633,0.01664,0.01626,0.01641,51386059.5,0.0
1570543200000,0.01641,0.01643,0.01616,0.01631,48318199.52,0.0
1570546800000,0.01631,0.01648,0.01629,0.01643,39034491.69,0.0
1570550400000,0.01643,0.0165,0.01629,0.01649,26761390.73,0.0
1570554000000,0.01649,0.01692,0.01643,0.01668,47477788.21,0.0
1570557600000,0.01669,0.01672,0.01664,0.0167,12130294.45,0.0
1570561200000,0.01671,0.01692,0.01668,0.01681,53888932.7,0.0
1570564800000,0.01682,0.01687,0.01656,0.01662,31530252.88,0.0
1570568400000,0.01663,0.0168,0.01663,0.01676,23777842.74,0.0
1570572000000,0.01676,0.01706,0.01675,0.01703,51013497.43,0.0
1570575600000,0.01703,0.01714,0.01683,0.01691,86463759.31,0.0
1570579200000,0.01691,0.01701,0.01676,0.01687,36004443.91,0.0
1570582800000,0.01687,0.01692,0.0166,0.0167,23550415.09,0.0
1570586400000,0.0167,0.01672,0.0165,0.01667,42361462.52,0.0
1570590000000,0.01668,0.01673,0.01654,0.01655,18432442.7,0.0
1570593600000,0.01655,0.01665,0.01655,0.01662,11390113.34,0.0
1570597200000,0.01662,0.01678,0.01659,0.01665,19916741.2,0.0
1570600800000,0.01665,0.01672,0.01662,0.01671,15333785.25,0.0
1570604400000,0.0167,0.01697,0.0167,0.01687,40190281.5,0.0
1570608000000,0.01688,0.01703,0.01684,0.01701,29394762.56,0.0
1570611600000,0.01702,0.01709,0.01687,0.01691,36617665.97,0.0
1570615200000,0.01691,0.01708,0.0169,0.01698,36415891.41,0.0
1570618800000,0.01697,0.017,0.01681,0.01696,32538011.46,0.0
1570622400000,0.01696,0.01698,0.01674,0.01677,21922764.57,0.0
1570626000000,0.01678,0.01714,0.01678,0.01714,32073390.8,0.0
1570629600000,0.01713,0.01751,0.01698,0.01703,125119341.47,0.0
1570633200000,0.01704,0.01713,0.01677,0.01692,85358505.88,0.0
1570636800000,0.01692,0.01718,0.01688,0.01693,59140553.02,0.0
1570640400000,0.01693,0.01699,0.01678,0.01687,29553447.89,0.0
1570644000000,0.01686,0.01694,0.01678,0.01681,31571889.07,0.0
1570647600000,0.01681,0.01685,0.01675,0.01683,14517492.59,0.0
1570651200000,0.01683,0.01689,0.01678,0.01682,14140670.74,0.0
1570654800000,0.01682,0.01694,0.0168,0.01689,25550099.77,0.0
1570658400000,0.01689,0.01702,0.01686,0.01689,22794371.11,0.0
1570662000000,0.01689,0.01699,0.01687,0.0169,16216153.47,0.0
1570665600000,0.01689,0.01699,0.01687,0.01688,21417128.03,0.0
1570669200000,0.01687,0.01688,0.01664,0.01667,24244689.74,0.0
1570672800000,0.01666,0.01678,0.01659,0.01672,18544543.45,0.0
1570676400000,0.01672,0.01675,0.01662,0.01665,18525000.92,0.0
1570680000000,0.01665,0.01668,0.01654,0.01657,17576978.68,0.0
1570683600000,0.01657,0.0166,0.01641,0.01649,46193891.62,0.0
1570687200000,0.01649,0.01649,0.01634,0.01643,25328950.28,0.0
1570690800000,0.01643,0.01658,0.01636,0.01643,28822052.79,0.0
1570694400000,0.01643,0.01643,0.01609,0.01612,59128162.2,0.0
1570698000000,0.01612,0.01618,0.01602,0.01606,40738026.12,0.0
1570701600000,0.01606,0.01618,0.01594,0.01617,26128320.36,0.0
1570705200000,0.01617,0.01628,0.01616,0.01623,25533029.05,0.0
1570708800000,0.01622,0.01623,0.01601,0.01612,26577032.65,0.0
1570712400000,0.01612,0.01629,0.0161,0.01621,15372151.51,0.0
1570716000000,0.01621,0.01628,0.01615,0.01627,10219195.65,0.0
1570719600000,0.01626,0.01649,0.01624,0.01635,40237293.99,0.0
1570723200000,0.01636,0.01654,0.01626,0.01636,37797012.2,0.0
